               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076792,            0.031113,                   0,             0.27179,             0.62791,             0.35353,             0.15905,            0.025137,             0.01959,                   0,              0.0027,              0.0027,              0.0757
                   1,             0.04734,            0.026523,                   0,             0.62427,             0.81147,             0.73039,             0.33194,            0.026907,            0.013579,                   0,           0.0054546,           0.0054546,            0.050455
                   2,            0.048667,            0.019589,                   0,             0.29143,             0.44186,             0.25971,            0.090942,            0.036937,           0.0075635,                   0,            0.008163,            0.008163,            0.025163
                   3,            0.051693,              0.0197,                   0,             0.89732,             0.83721,              0.8568,             0.28354,            0.029299,           0.0063934,                   0,           0.0097525,           0.0097525,           0.0097525
                   4,              0.0416,            0.017557,                   0,             0.79962,             0.83721,             0.84532,             0.32956,            0.024959,           0.0059999,                   0,           0.0097525,           0.0097525,           0.0097525
                   5,            0.034298,            0.016779,                   0,             0.88086,              0.8597,             0.93047,             0.45165,            0.022755,           0.0051724,                   0,             0.00967,             0.00967,             0.00967
