               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066363,            0.031102,                   0,              0.6743,             0.69767,             0.66352,              0.2992,            0.021522,            0.017306,                   0,              0.0027,              0.0027,              0.0757
                   1,            0.045582,            0.025049,                   0,             0.27961,             0.76744,             0.28641,            0.081978,            0.029407,               0.012,                   0,           0.0054546,           0.0054546,            0.050455
                   2,            0.049919,            0.018568,                   0,             0.60938,             0.69767,             0.58086,             0.18759,            0.028283,           0.0072684,                   0,            0.008163,            0.008163,            0.025163
                   3,            0.045663,            0.016043,                   0,             0.61648,             0.86047,              0.7108,             0.33571,            0.022069,           0.0062878,                   0,           0.0097525,           0.0097525,           0.0097525
                   4,            0.039996,            0.016021,                   0,             0.50624,             0.93023,             0.70943,             0.34849,            0.023666,           0.0064003,                   0,           0.0097525,           0.0097525,           0.0097525
                   5,            0.037107,            0.015795,                   0,             0.60909,             0.94221,             0.80419,             0.46903,            0.017508,           0.0053224,                   0,             0.00967,             0.00967,             0.00967
                   6,            0.033521,            0.015231,                   0,             0.80389,             0.95332,             0.87931,             0.34279,             0.02548,           0.0050843,                   0,           0.0095875,           0.0095875,           0.0095875
                   7,             0.02875,            0.014449,                   0,             0.65365,             0.83721,              0.8053,             0.40594,            0.017611,           0.0045783,                   0,            0.009505,            0.009505,            0.009505
                   8,             0.02934,            0.012753,                   0,             0.55855,             0.88276,             0.71666,             0.25351,            0.018884,           0.0042468,                   0,           0.0094225,           0.0094225,           0.0094225
                   9,            0.029843,            0.013514,                   0,             0.83997,             0.97674,             0.91415,             0.59188,            0.017116,           0.0041724,                   0,             0.00934,             0.00934,             0.00934
                  10,            0.026626,            0.012691,                   0,                   1,             0.99993,               0.995,             0.68751,            0.013626,           0.0038967,                   0,           0.0092575,           0.0092575,           0.0092575
                  11,            0.023377,            0.012719,                   0,             0.99987,                   1,               0.995,             0.70507,            0.013754,           0.0036349,                   0,            0.009175,            0.009175,            0.009175
                  12,            0.021689,            0.012665,                   0,             0.99999,                   1,               0.995,             0.64959,              0.0146,           0.0035449,                   0,           0.0090925,           0.0090925,           0.0090925
                  13,            0.021846,            0.012128,                   0,             0.99998,                   1,               0.995,             0.73458,            0.010641,           0.0035803,                   0,             0.00901,             0.00901,             0.00901
                  14,            0.022012,            0.011889,                   0,             0.99997,                   1,               0.995,             0.78065,           0.0095531,           0.0036536,                   0,           0.0089275,           0.0089275,           0.0089275
                  15,            0.022689,            0.011019,                   0,                   1,                   1,               0.995,             0.73501,            0.012831,           0.0034119,                   0,            0.008845,            0.008845,            0.008845
                  16,            0.022202,            0.011562,                   0,             0.99994,                   1,               0.995,             0.68725,            0.012889,           0.0035317,                   0,           0.0087625,           0.0087625,           0.0087625
                  17,            0.019748,            0.011761,                   0,             0.99997,                   1,               0.995,             0.77455,           0.0094179,           0.0035463,                   0,             0.00868,             0.00868,             0.00868
                  18,            0.019027,            0.011504,                   0,                   1,             0.99996,               0.995,             0.71505,            0.010959,           0.0035968,                   0,           0.0085975,           0.0085975,           0.0085975
                  19,            0.021704,            0.011124,                   0,             0.99999,                   1,               0.995,             0.72235,            0.010991,           0.0035332,                   0,            0.008515,            0.008515,            0.008515
                  20,            0.019862,            0.011007,                   0,             0.99997,                   1,               0.995,             0.70223,            0.011446,           0.0037534,                   0,           0.0084325,           0.0084325,           0.0084325
                  21,            0.018709,            0.011011,                   0,                   1,             0.99995,               0.995,             0.61031,            0.013245,           0.0034479,                   0,             0.00835,             0.00835,             0.00835
                  22,            0.018063,            0.010645,                   0,             0.99996,                   1,               0.995,             0.70312,            0.010749,            0.003652,                   0,           0.0082675,           0.0082675,           0.0082675
                  23,            0.016533,            0.010126,                   0,             0.99998,                   1,               0.995,             0.77265,             0.00899,           0.0035849,                   0,            0.008185,            0.008185,            0.008185
                  24,            0.018846,            0.009985,                   0,             0.99998,                   1,               0.995,             0.74883,           0.0096676,           0.0036386,                   0,           0.0081025,           0.0081025,           0.0081025
                  25,            0.015869,           0.0097381,                   0,                   1,             0.99996,               0.995,             0.73504,           0.0098676,           0.0035992,                   0,             0.00802,             0.00802,             0.00802
                  26,            0.017007,            0.010054,                   0,             0.99997,                   1,               0.995,             0.81048,           0.0078899,            0.003258,                   0,           0.0079375,           0.0079375,           0.0079375
                  27,            0.021875,            0.010457,                   0,                   1,             0.99999,               0.995,              0.7437,            0.011032,           0.0031408,                   0,            0.007855,            0.007855,            0.007855
                  28,            0.019306,            0.010614,                   0,                   1,                   1,               0.995,             0.77252,           0.0094284,           0.0031077,                   0,           0.0077725,           0.0077725,           0.0077725
                  29,            0.015716,            0.010088,                   0,             0.99998,                   1,               0.995,              0.8125,           0.0079566,           0.0031186,                   0,             0.00769,             0.00769,             0.00769
                  30,            0.015112,            0.010176,                   0,             0.99996,                   1,               0.995,             0.73138,           0.0085187,           0.0030299,                   0,           0.0076075,           0.0076075,           0.0076075
                  31,             0.01459,           0.0092711,                   0,             0.99999,                   1,               0.995,             0.79843,           0.0081978,           0.0032043,                   0,            0.007525,            0.007525,            0.007525
                  32,             0.01457,           0.0093519,                   0,             0.99997,                   1,               0.995,              0.8165,           0.0073496,           0.0031599,                   0,           0.0074425,           0.0074425,           0.0074425
                  33,            0.017931,            0.010075,                   0,             0.99999,                   1,               0.995,              0.8293,            0.007814,           0.0031278,                   0,             0.00736,             0.00736,             0.00736
                  34,            0.019179,           0.0093062,                   0,             0.99999,                   1,               0.995,              0.7789,           0.0082217,           0.0031303,                   0,           0.0072775,           0.0072775,           0.0072775
                  35,            0.014218,            0.008941,                   0,             0.99998,                   1,               0.995,             0.82461,           0.0068814,           0.0031616,                   0,            0.007195,            0.007195,            0.007195
                  36,            0.016427,           0.0096129,                   0,                   1,                   1,               0.995,             0.76496,           0.0084402,           0.0032732,                   0,           0.0071125,           0.0071125,           0.0071125
                  37,            0.014269,           0.0086427,                   0,             0.99999,                   1,               0.995,             0.80821,           0.0083702,            0.003126,                   0,             0.00703,             0.00703,             0.00703
