               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  34,            0.017736,           0.0098822,                   0,                   1,             0.99998,               0.995,             0.80846,           0.0080947,           0.0032297,                   0,           0.0072775,           0.0072775,           0.0072775
                  35,            0.015394,           0.0090114,                   0,             0.99999,                   1,               0.995,             0.76674,           0.0092855,            0.003601,                   0,            0.007195,            0.007195,            0.007195
                  36,            0.017632,           0.0095456,                   0,                   1,                   1,               0.995,             0.66949,            0.010411,           0.0034276,                   0,           0.0071125,           0.0071125,           0.0071125
                  37,            0.015718,           0.0090844,                   0,             0.99998,                   1,               0.995,             0.75415,           0.0097375,           0.0033953,                   0,             0.00703,             0.00703,             0.00703
                  38,            0.014783,           0.0094988,                   0,             0.99998,                   1,               0.995,             0.79437,           0.0072767,           0.0033399,                   0,           0.0069475,           0.0069475,           0.0069475
                  39,            0.013113,           0.0093549,                   0,             0.99997,                   1,               0.995,             0.80757,           0.0073478,           0.0032574,                   0,            0.006865,            0.006865,            0.006865
                  40,            0.015969,           0.0088206,                   0,             0.99997,                   1,               0.995,             0.80818,           0.0071708,           0.0033516,                   0,           0.0067825,           0.0067825,           0.0067825
                  41,            0.014802,            0.008941,                   0,             0.99998,                   1,               0.995,             0.80568,           0.0071779,           0.0033312,                   0,              0.0067,              0.0067,              0.0067
                  42,            0.013005,           0.0083545,                   0,             0.99998,                   1,               0.995,             0.77772,           0.0067341,           0.0033461,                   0,           0.0066175,           0.0066175,           0.0066175
                  43,            0.014625,           0.0091962,                   0,             0.99998,                   1,               0.995,             0.80806,           0.0069516,           0.0035684,                   0,            0.006535,            0.006535,            0.006535
                  44,            0.013376,           0.0091645,                   0,             0.99998,                   1,               0.995,             0.76128,           0.0076094,           0.0035571,                   0,           0.0064525,           0.0064525,           0.0064525
                  45,            0.012297,            0.008608,                   0,             0.99999,                   1,               0.995,               0.813,           0.0069248,           0.0033789,                   0,             0.00637,             0.00637,             0.00637
                  46,            0.012585,           0.0088467,                   0,             0.99998,                   1,               0.995,             0.81587,           0.0073268,           0.0033247,                   0,           0.0062875,           0.0062875,           0.0062875
                  47,            0.012004,           0.0086952,                   0,             0.99998,                   1,               0.995,             0.81554,           0.0067675,           0.0034897,                   0,            0.006205,            0.006205,            0.006205
                  48,            0.013107,           0.0087789,                   0,             0.99999,                   1,               0.995,             0.77212,           0.0071793,           0.0035278,                   0,           0.0061225,           0.0061225,           0.0061225
                  49,            0.013826,           0.0092437,                   0,             0.99997,                   1,               0.995,             0.80688,           0.0065051,           0.0033237,                   0,             0.00604,             0.00604,             0.00604
                  50,            0.013413,            0.008143,                   0,             0.99999,                   1,               0.995,             0.81515,           0.0067747,           0.0035941,                   0,           0.0059575,           0.0059575,           0.0059575
                  51,            0.013927,           0.0089255,                   0,             0.99997,                   1,               0.995,             0.78142,            0.007577,            0.003773,                   0,            0.005875,            0.005875,            0.005875
                  52,              0.0132,           0.0083235,                   0,             0.99998,                   1,               0.995,             0.81323,            0.007266,           0.0036409,                   0,           0.0057925,           0.0057925,           0.0057925
